id,title,genre_ids,vote_average,release_date,original_language,popularity
324544,In the Lost Lands,"[14, 12, 28]",6.06,2025-02-27,en,873.5678
950387,A Minecraft Movie,"[10751, 35, 12, 14]",6.067,2025-03-31,en,824.7134
1045938,G20,"[28, 9648, 18]",6.267,2025-04-09,en,698.0887
1195506,Novocaine,"[28, 35, 53]",6.743,2025-03-12,en,575.5088
1293286,Gunslingers,"[37, 28]",5.3,2025-04-11,en,444.7156
822119,Captain America: Brave New World,"[28, 53, 878]",6.116,2025-02-12,en,288.9724
1195585,The Hard Hit,"[28, 53, 80]",7.4,2023-10-20,en,269.4783
1125899,Cleaner,"[28, 53]",6.606,2025-02-19,en,259.8897
1195430,Deva,"[28, 53, 9648, 80]",5.938,2025-01-31,hi,252.0563
1229730,Carjackers,"[28, 12]",6.226,2025-03-27,fr,242.9057
696506,Mickey 17,"[878, 35, 12]",6.933,2025-02-28,en,223.5184
1208808,Turno nocturno,[27],6.495,2024-10-31,es,202.8561
1241982,Moana 2,"[16, 12, 10751, 35]",7.1,2024-11-21,en,196.3962
1373723,The Codes of War,"[28, 10752]",6.264,2025-03-20,en,188.2434
1252309,Ask Me What You Want,"[10749, 18]",5.9,2024-11-29,es,187.2194
762509,Mufasa: The Lion King,"[12, 10751, 16]",7.426,2024-12-18,en,177.2604
1282980,825 Forest Road,[27],5.774,2025-04-04,en,166.1029
1261050,The Quiet Ones,"[28, 18]",5.394,2024-10-31,da,162.6065
939243,Sonic the Hedgehog 3,"[28, 878, 35, 10751, 12, 14]",7.7,2024-12-19,en,160.6146
1165067,Cosmic Chaos,"[53, 878]",6.0,2023-08-03,en,160.0442
1212855,Fight or Flight,"[28, 35, 53]",5.2,2025-04-03,en,153.0431
1403735,Laila,"[35, 10749]",0.0,2025-02-14,te,141.1455
1197306,A Working Man,"[28, 80, 53]",6.383,2025-03-26,en,137.9169
1302916,Heart Eyes,"[27, 35, 10749]",6.31,2025-02-06,en,132.57
1297763,Batman Ninja vs. Yakuza League,"[16, 28]",6.68,2025-03-17,ja,125.425
1101401,Sugar Baby,"[53, 35]",6.563,2024-10-15,en,122.9992
1126166,Flight Risk,"[28, 80, 53]",6.116,2025-01-22,en,122.8615
1304594,Una pequeña confusión,[35],7.388,2024-12-25,es,122.0032
1020414,Peter Pan's Neverland Nightmare,"[27, 53, 14]",5.1,2025-01-13,en,121.6515
1087891,The Amateur,"[53, 28]",6.818,2025-04-09,en,120.8333
1059643,Clawfoot,[53],4.97,2024-04-24,en,115.4169
1353117,Home Sweet Home: Rebirth,"[27, 14, 53, 9648, 28]",6.438,2025-03-20,en,105.677
1312833,A Knight's War,"[27, 28, 14]",5.1,2025-02-07,en,103.9922
447273,Snow White,"[10751, 14]",4.5,2025-03-19,en,103.6311
1249385,Ghost Game,"[27, 53]",3.7,2024-10-18,en,101.1567
1356039,Counterattack,"[28, 12, 53]",8.385,2025-02-27,es,100.7075
950396,The Gorge,"[10749, 878, 53]",7.733,2025-02-13,en,96.85
1103432,Bloody Escape: Bats out of Hell,"[16, 28, 878]",5.5,2024-01-05,ja,90.3719
1388366,Popeye the Slayer Man,[27],6.007,2025-03-21,en,89.3045
1104845,Plankton: The Movie,"[16, 12, 35, 10751, 14]",6.974,2025-03-08,en,89.298
